state_name,abbreviation,population
Alabama,AL,"4,863,525"
Alaska,AK,"741,456"
Arizona,AZ,"6,941,072"
Arkansas,AR,"2,989,918"
California,CA,"39,167,117"
Colorado,CO,"5,539,215"
Connecticut,CT,"3,578,141"
Delaware,DE,"948,921"
District of Columbia,DC,"685,815"
Florida,FL,"20,613,477"
Georgia,GA,"10,301,890"
Hawaii,HI,"1,427,559"
Idaho,ID,"1,682,380"
Illinois,IL,"12,820,527"
Indiana,IN,"6,634,304"
Iowa,IA,"3,131,371"
Kansas,KS,"2,910,844"
Kentucky,KY,"4,438,182"
Louisiana,LA,"4,678,135"
Maine,ME,"1,331,317"
Maryland,MD,"6,003,323"
Massachusetts,MA,"6,823,608"
Michigan,MI,"9,950,571"
Minnesota,MN,"5,522,744"
Mississippi,MS,"2,987,938"
Missouri,MO,"6,087,135"
Montana,MT,"1,040,859"
Nebraska,NE,"1,905,616"
Nevada,NV,"2,917,563"
New Hampshire,NH,"1,342,307"
New Jersey,NJ,"8,870,827"
New Mexico,NM,"2,091,630"
New York,NY,"19,633,428"
North Carolina,NC,"10,154,788"
North Dakota,ND,"754,434"
Ohio,OH,"11,634,370"
Oklahoma,OK,"3,926,331"
Oregon,OR,"4,089,976"
Pennsylvania,PA,"12,782,275"
Puerto Rico,PR,"3,406,672"
Rhode Island,RI,"1,056,770"
South Carolina,SC,"4,957,968"
South Dakota,SD,"862,996"
Tennessee,TN,"6,646,010"
Texas,TX,"27,914,410"
Utah,UT,"3,041,868"
Vermont,VT,"623,657"
Virginia,VA,"8,410,106"
Washington,WA,"7,294,771"
West Virginia,WV,"1,831,023"
Wisconsin,WI,"5,772,628"
Wyoming,WY,"584,215"